"id" "PT" "PU" "AP" "PC" "NG" "NB" "ND" "NS" "MO" "PSN" "CH" "DABM" "DSBM" "DSIG" "DPXV" "DCTC" "BRO" "COORD_E" "COORD_N"
"92" 92 780042 8966 87 "Alto" 1 3 3 1 "MO" "Nao" "Nao" 125 423 6110 2167 6369 "Agronomica" 742505 6946729
"93" 93 759032 9608 79 "Alto" 1 2 3 1 "N" "Sim" "Nao" 277 2388 2604 4132 3775 "Agronomica" 743874 6947377
"94" 94 1275030 8226 155 "Médio" 1 3 4 1 "N" "Nao" "Nao" 67 874 5478 2618 5737 "Agronomica" 742504 6947027
"95" 95 1690080 8048 210 "Médio" 2 4 4 1 "SM" "Sim" "Nao" 117 365 6051 2109 6310 "Agronomica" 742491 6946700
"96" 96 490025 5765 85 "Baixo" 1 2 3 1 "N" "Nao" "Nao" 397 2480 2694 4224 3865 "Agronomica" 743792 6947284
"97" 97 438978 6362 69 "Alto" 1 2 2 1 "SM" "Nao" "Nao" 280 2218 2774 3962 3945 "Agronomica" 743732 6947440
"98" 98 650016 6771 96 "Alto" 1 2 3 1 "SM" "Nao" "Sim" 249 2893 2594 4637 3765 "Agronomica" 744036 6947270
"99" 99 959016 10312 93 "Alto" 2 2 3 1 "MO" "Sim" "Sim" 307 1605 5738 3349 5997 "Agronomica" 743194 6947463
"100" 100 976165 9665 101 "Alto" 1 3 2 2 "N" "Sim" "Sim" 176 1540 5673 3284 5932 "Agronomica" 742969 6947480
"101" 101 899964 7692 117 "Alto" 1 2 3 1 "MO" "Sim" "Sim" 147 722 5786 2466 6045 "Agronomica" 742587 6947034
"102" 102 1299987 11111 117 "Alto" 3 4 3 3 "N" "Sim" "Sim" 122 3539 2361 5283 3532 "Agronomica" 744194 6947259
"103" 103 2299938 12921 178 "Alto" 2 3 4 1 "MO" "Sim" "Nao" 116 534 6220 2278 6479 "Agronomica" 742517 6946839
"104" 104 980000 7840 125 "Alto" 2 2 3 1 "N" "Sim" "Sim" 221 1189 5321 2933 5580 "Agronomica" 742753 6947267
"105" 105 329976 4583 72 "Baixo" 1 1 2 0 "N" "Nao" "Nao" 311 2176 2927 3920 4098 "Agronomica" 743581 6947461
"106" 106 769965 7333 105 "Médio" 1 2 3 1 "SM" "Sim" "Sim" 284 1485 5618 3229 5877 "Agronomica" 743016 6947382
"107" 107 677996 8921 76 "Alto" 2 2 3 1 "MO" "Nao" "Nao" 263 2218 2774 3962 3945 "Agronomica" 743737 6947457
"108" 108 978027 7701 127 "Alto" 2 3 3 2 "SM" "Nao" "Sim" 314 1483 5616 3227 5875 "Agronomica" 742985 6947328
"109" 109 780042 8966 87 "Alto" 1 3 3 1 "SM" "Nao" "Sim" 164 456 6143 2200 6402 "Agronomica" 742549 6946752
"110" 110 1069037 9991 107 "Alto" 2 3 3 1 "N" "Sim" "Sim" 212 1243 5376 2987 5635 "Agronomica" 742812 6947336
"111" 111 829955 7217 115 "Alto" 2 2 2 1 "N" "Sim" "Sim" 379 2546 2446 4290 3617 "Agronomica" 743950 6947171
"112" 112 986034 9667 102 "Alto" 2 4 3 3 "N" "Sim" "Sim" 240 1240 5372 2984 5631 "Agronomica" 742788 6947279
"113" 113 1289970 11727 110 "Alto" 2 2 3 1 "SM" "Sim" "Sim" 286 1605 5738 3349 5997 "Agronomica" 743182 6947480
"114" 114 1900000 11875 160 "Alto" 3 5 3 3 "MO" "Sim" "Sim" 179 558 6244 2302 6503 "Agronomica" 742575 6946809
"115" 115 550041 6627 83 "Alto" 2 2 2 1 "SM" "Sim" "Sim" 369 2546 2446 4290 3617 "Agronomica" 743948 6947188
"116" 116 527972 6947 76 "Médio" 1 2 3 1 "SM" "Nao" "Nao" 302 1527 5660 3271 5919 "Agronomica" 743067 6947392
"117" 117 830000 10375 80 "Alto" 2 3 2 2 "SM" "Sim" "Sim" 323 1574 5707 3318 5966 "Agronomica" 742920 6947278
"118" 118 1390040 9145 152 "Alto" 2 1 3 1 "SM" "Sim" "Sim" 154 262 6240 2006 6499 "Agronomica" 742500 6946583
"119" 119 693780 11190 62 "Alto" 1 1 3 0 "N" "Sim" "Sim" 256 427 6114 2171 6373 "Agronomica" 742613 6946613
"120" 120 539981 7397 73 "Médio" 1 2 2 1 "MO" "Nao" "Sim" 322 2147 2898 3891 4069 "Agronomica" 743429 6947500
